Partner-/Kundenummer;Datum;Datumformat
61403289;24.10.2017;20171024
61180036;24.10.2017;20171024
61103113;24.10.2017;20171024
61150010;24.10.2017;20171024
61100623;24.10.2017;20171024
61310009;24.10.2017;20171024
61305141;24.10.2017;20171024
61230172;24.10.2017;20171024
61300281;24.10.2017;20171024
61101754;24.10.2017;20171024
61303115;24.10.2017;20171024
61401790;24.10.2017;20171024
61100859;24.10.2017;20171024
61633290;24.10.2017;20171024
61103182;24.10.2017;20171024
61302744;24.10.2017;20171024
61350152;24.10.2017;20171024
61230107;24.10.2017;20171024
61402020;24.10.2017;20171024
61103667;24.10.2017;20171024
61401627;24.10.2017;20171024
61403587;24.10.2017;20171024
61403208;24.10.2017;20171024
61102154;24.10.2017;20171024
61102999;24.10.2017;20171024
61103169;24.10.2017;20171024
61402340;24.10.2017;20171024
61303642;24.10.2017;20171024
61330026;24.10.2017;20171024
61280180;24.10.2017;20171024
61401605;25.10.2017;20171025
61303391;25.10.2017;20171025
61320047;25.10.2017;20171025
61180182;25.10.2017;20171025
61220169;25.10.2017;20171025
61103836;25.10.2017;20171025
61230082;25.10.2017;20171025
61180018;25.10.2017;20171025
61303920;25.10.2017;20171025
61302503;25.10.2017;20171025
61150072;25.10.2017;20171025
61180004;25.10.2017;20171025
61290813;25.10.2017;20171025
61403422;25.10.2017;20171025
61140071;25.10.2017;20171025
61102190;25.10.2017;20171025
61101215;25.10.2017;20171025
61402935;25.10.2017;20171025
61305830;25.10.2017;20171025
61642043;25.10.2017;20171025
61280051;25.10.2017;20171025
61100957;25.10.2017;20171025
61303036;25.10.2017;20171025
61620603;25.10.2017;20171025
61305142;25.10.2017;20171025
61603069;25.10.2017;20171025
61170240;25.10.2017;20171025
61120055;25.10.2017;20171025
61305748;25.10.2017;20171025
61401188;25.10.2017;20171025
61100345;25.10.2017;20171025
61180462;25.10.2017;20171025
61104154;25.10.2017;20171025
61302984;25.10.2017;20171025
61609329;25.10.2017;20171025
61102918;25.10.2017;20171025
61403590;25.10.2017;20171025
61403337;25.10.2017;20171025
61104070;25.10.2017;20171025
61200024;25.10.2017;20171025
61303952;25.10.2017;20171025
61350150;25.10.2017;20171025
61230057;25.10.2017;20171025
61102080;25.10.2017;20171025
61210068;25.10.2017;20171025
61210346;25.10.2017;20171025
61210201;25.10.2017;20171025
61350066;25.10.2017;20171025
61104418;25.10.2017;20171025
61260075;25.10.2017;20171025
61104157;25.10.2017;20171025
61102297;25.10.2017;20171025
61350016;25.10.2017;20171025
61306063;25.10.2017;20171025
61302562;25.10.2017;20171025
61300094;25.10.2017;20171025
61102065;25.10.2017;20171025
61306094;25.10.2017;20171025
61102515;25.10.2017;20171025
61101701;25.10.2017;20171025
61403342;25.10.2017;20171025
61170083;25.10.2017;20171025
61130024;25.10.2017;20171025
61305974;25.10.2017;20171025
61310139;25.10.2017;20171025
61402195;25.10.2017;20171025
61103340;25.10.2017;20171025
61303802;25.10.2017;20171025
61401913;25.10.2017;20171025
61304300;25.10.2017;20171025
61236379;25.10.2017;20171025
61303167;25.10.2017;20171025
61304858;25.10.2017;20171025
61230172;25.10.2017;20171025
61402607;25.10.2017;20171025
61170003;25.10.2017;20171025
61305444;25.10.2017;20171025
61101158;25.10.2017;20171025
61403550;25.10.2017;20171025
61102032;25.10.2017;20171025
61403615;25.10.2017;20171025
61401695;25.10.2017;20171025
61101272;25.10.2017;20171025
61100750;25.10.2017;20171025
61180266;25.10.2017;20171025
61302979;25.10.2017;20171025
61300341;25.10.2017;20171025
61403606;25.10.2017;20171025
61305606;25.10.2017;20171025
61180297;25.10.2017;20171025
61290168;25.10.2017;20171025
61305601;25.10.2017;20171025
61304739;25.10.2017;20171025
61103488;25.10.2017;20171025
61303863;25.10.2017;20171025
61300016;25.10.2017;20171025
61210120;25.10.2017;20171025
61250014;27.10.2017;20171027
61100845;27.10.2017;20171027
61140115;27.10.2017;20171027
61609054;27.10.2017;20171027
61620551;27.10.2017;20171027
61320096;27.10.2017;20171027
61402994;27.10.2017;20171027
61103076;27.10.2017;20171027
61100599;27.10.2017;20171027
61120215;27.10.2017;20171027
61220173;27.10.2017;20171027
61120044;27.10.2017;20171027
61401265;27.10.2017;20171027
61104341;27.10.2017;20171027
61104315;27.10.2017;20171027
61170066;27.10.2017;20171027
61303631;27.10.2017;20171027
61236346;27.10.2017;20171027
61302750;27.10.2017;20171027
61303652;27.10.2017;20171027
61402698;30.10.2017;20171030
61103936;30.10.2017;20171030
61100861;30.10.2017;20171030
61280019;30.10.2017;20171030
61627175;30.10.2017;20171030
61627116;30.10.2017;20171030
61180089;30.10.2017;20171030
61303263;30.10.2017;20171030
61237502;30.10.2017;20171030
61100218;30.10.2017;20171030
61104267;30.10.2017;20171030
61302998;30.10.2017;20171030
61180233;30.10.2017;20171030
61310174;30.10.2017;20171030
61010076;30.10.2017;20171030
61280253;30.10.2017;20171030
61305842;30.10.2017;20171030
61624174;30.10.2017;20171030
61104154;30.10.2017;20171030
61170366;30.10.2017;20171030
61402733;30.10.2017;20171030
61140077;30.10.2017;20171030
61300004;30.10.2017;20171030
61260096;30.10.2017;20171030
61120132;30.10.2017;20171030
61304561;30.10.2017;20171030
61302191;30.10.2017;20171030
61250009;30.10.2017;20171030
61280248;30.10.2017;20171030
61280001;30.10.2017;20171030
61236812;30.10.2017;20171030
61104103;30.10.2017;20171030
61103754;30.10.2017;20171030
61102578;30.10.2017;20171030
61236180;30.10.2017;20171030
61250031;30.10.2017;20171030
61401916;30.10.2017;20171030
61305084;30.10.2017;20171030
61120067;30.10.2017;20171030
61103051;30.10.2017;20171030
61101778;30.10.2017;20171030
61401954;30.10.2017;20171030
61403451;30.10.2017;20171030
61401499;30.10.2017;20171030
61150001;30.10.2017;20171030
61403211;30.10.2017;20171030
61308898;30.10.2017;20171030
61230234;30.10.2017;20171030
61401974;30.10.2017;20171030
61401440;30.10.2017;20171030
61280137;30.10.2017;20171030
61103641;30.10.2017;20171030
61403616;30.10.2017;20171030
61305331;30.10.2017;20171030
61402559;30.10.2017;20171030
61302319;30.10.2017;20171030
61103481;30.10.2017;20171030
61403071;30.10.2017;20171030
61290072;30.10.2017;20171030
61403637;30.10.2017;20171030
61102972;30.10.2017;20171030
61103876;30.10.2017;20171030
61350053;30.10.2017;20171030
61402685;30.10.2017;20171030
61305586;30.10.2017;20171030
61300096;30.10.2017;20171030
61402244;30.10.2017;20171030
61100568;30.10.2017;20171030
61236771;30.10.2017;20171030
61102283;30.10.2017;20171030
61350150;30.10.2017;20171030
61300241;30.10.2017;20171030
61280088;30.10.2017;20171030
61350158;30.10.2017;20171030
61210108;30.10.2017;20171030
61180278;30.10.2017;20171030
61305411;30.10.2017;20171030
61403274;30.10.2017;20171030
61120066;30.10.2017;20171030
61290035;30.10.2017;20171030
61303124;30.10.2017;20171030
61304852;30.10.2017;20171030
61280265;30.10.2017;20171030
61110052;30.10.2017;20171030
61303863;30.10.2017;20171030
61402966;30.10.2017;20171030
61600435;30.10.2017;20171030
61180222;30.10.2017;20171030
61403523;31.10.2017;20171031
61310034;31.10.2017;20171031
61220146;31.10.2017;20171031
61310126;31.10.2017;20171031
61403120;31.10.2017;20171031
61104478;31.10.2017;20171031
61236709;31.10.2017;20171031
61210126;31.10.2017;20171031
61302961;31.10.2017;20171031
61102487;31.10.2017;20171031
61402616;31.10.2017;20171031
61302997;31.10.2017;20171031
61403269;31.10.2017;20171031
61403269;31.10.2017;20171031
61120152;31.10.2017;20171031
61260101;31.10.2017;20171031
61102774;31.10.2017;20171031
61103846;31.10.2017;20171031
61104277;31.10.2017;20171031
61120055;31.10.2017;20171031
61403593;31.10.2017;20171031
61160016;31.10.2017;20171031
61102897;31.10.2017;20171031
61230029;31.10.2017;20171031
61402953;31.10.2017;20171031
61402060;31.10.2017;20171031
61250055;31.10.2017;20171031
61305148;31.10.2017;20171031
61104415;31.10.2017;20171031
61308013;31.10.2017;20171031
61120079;31.10.2017;20171031
61308846;31.10.2017;20171031
61402252;31.10.2017;20171031
61310122;31.10.2017;20171031
61303802;31.10.2017;20171031
61104152;31.10.2017;20171031
61101820;31.10.2017;20171031
61170215;31.10.2017;20171031
61104201;31.10.2017;20171031
61220086;31.10.2017;20171031
61120215;31.10.2017;20171031
61230164;31.10.2017;20171031
61236606;31.10.2017;20171031
61290038;31.10.2017;20171031
61403615;31.10.2017;20171031
61340019;31.10.2017;20171031
61100551;31.10.2017;20171031
61104303;31.10.2017;20171031
61305588;31.10.2017;20171031
61230088;31.10.2017;20171031
61310004;31.10.2017;20171031
61305354;31.10.2017;20171031
61403455;31.10.2017;20171031
61290007;31.10.2017;20171031
61305582;31.10.2017;20171031
61103897;31.10.2017;20171031
61303853;31.10.2017;20171031
61305184;31.10.2017;20171031
61210449;31.10.2017;20171031
61300281;31.10.2017;20171031
61237550;31.10.2017;20171031
61304832;31.10.2017;20171031
61310029;31.10.2017;20171031
61236379;31.10.2017;20171031
61613017;31.10.2017;20171031
61402839;31.10.2017;20171031
61303846;31.10.2017;20171031
61303738;31.10.2017;20171031
61401686;01.11.2017;20171101
61100271;02.11.2017;20171102
61290047;02.11.2017;20171102
61401788;02.11.2017;20171102
61180324;02.11.2017;20171102
61401357;02.11.2017;20171102
61220002;02.11.2017;20171102
61101386;02.11.2017;20171102
61402129;02.11.2017;20171102
61303310;02.11.2017;20171102
61236388;02.11.2017;20171102
61401776;02.11.2017;20171102
61401147;02.11.2017;20171102
61103315;02.11.2017;20171102
61350133;02.11.2017;20171102
61280059;02.11.2017;20171102
61150171;02.11.2017;20171102
61303572;02.11.2017;20171102
61103890;02.11.2017;20171102
61401521;02.11.2017;20171102
61305974;02.11.2017;20171102
61401392;02.11.2017;20171102
61305726;02.11.2017;20171102
61260063;02.11.2017;20171102
61100716;02.11.2017;20171102
61401611;02.11.2017;20171102
61310139;02.11.2017;20171102
61290005;02.11.2017;20171102
61305740;02.11.2017;20171102
61160046;02.11.2017;20171102
61140031;02.11.2017;20171102
61230108;02.11.2017;20171102
61402697;02.11.2017;20171102
61402404;02.11.2017;20171102
61403304;02.11.2017;20171102
61302703;02.11.2017;20171102
61402436;02.11.2017;20171102
61210143;02.11.2017;20171102
61302492;02.11.2017;20171102
61150074;02.11.2017;20171102
61280248;02.11.2017;20171102
61609054;02.11.2017;20171102
61403044;02.11.2017;20171102
61600458;02.11.2017;20171102
61642043;02.11.2017;20171102
61403628;02.11.2017;20171102
61104364;02.11.2017;20171102
61403008;02.11.2017;20171102
61402503;02.11.2017;20171102
61100639;02.11.2017;20171102
61150040;02.11.2017;20171102
61100873;02.11.2017;20171102
61302730;02.11.2017;20171102
61403395;02.11.2017;20171102
61302036;02.11.2017;20171102
61236723;02.11.2017;20171102
61102065;02.11.2017;20171102
61236474;02.11.2017;20171102
61402757;02.11.2017;20171102
61403234;02.11.2017;20171102
61303170;02.11.2017;20171102
61304858;02.11.2017;20171102
61103640;02.11.2017;20171102
61100197;02.11.2017;20171102
61103328;02.11.2017;20171102
61100623;02.11.2017;20171102
61302406;02.11.2017;20171102
61102515;02.11.2017;20171102
61401217;02.11.2017;20171102
61100605;02.11.2017;20171102
61402473;02.11.2017;20171102
61104422;02.11.2017;20171102
61102034;02.11.2017;20171102
61150038;02.11.2017;20171102
61170068;02.11.2017;20171102
61302703;02.11.2017;20171102
61401958;02.11.2017;20171102
61210371;02.11.2017;20171102
61403460;02.11.2017;20171102
61236348;02.11.2017;20171102
61403182;02.11.2017;20171102
61104158;02.11.2017;20171102
61402076;03.11.2017;20171103
61130031;03.11.2017;20171103
61401937;03.11.2017;20171103
61305920;03.11.2017;20171103
